"","name","n","p","m","N","sigma","ratio","averaged","centralized"
"1",ols,232,50,10,2320,10,1.3661956241332,2.00575635753673,1.46813261739827
"2",ols,232,50,10,2320,10,1.26724824496697,2.14175077952098,1.69007989399646
"3",ols,232,50,10,2320,10,1.13030011391664,3.05363227760012,2.70161193474437
"4",ols,232,50,10,2320,10,1.49427773494647,2.90665670089603,1.94519173572519
"5",ols,232,50,10,2320,10,1.44720209367516,2.33583858730736,1.61403759538207
"6",ols,232,50,10,2320,10,1.16312478776168,2.50069093435925,2.14997647773596
"7",ols,232,50,10,2320,10,1.55484045239619,2.88678623741162,1.85664466920882
"8",ols,232,50,10,2320,10,1.34191848613314,2.84215646176276,2.11797996013357
"9",ols,232,50,10,2320,10,1.32265525280038,2.1924132102557,1.65758477548389
"10",ols,232,50,10,2320,10,1.1973925036887,2.05324422082688,1.71476288226428
"11",ols,232,50,10,2320,10,1.20109273376548,3.15852238694161,2.62970734744143
"12",ols,232,50,10,2320,10,0.901640753163755,2.45893241549338,2.72717532660903
"13",ols,232,50,10,2320,10,1.06621510279051,2.65171443306925,2.48703514528086
"14",ols,232,50,10,2320,10,1.38686170510388,3.30129942749055,2.38040996830558
"15",ols,232,50,10,2320,10,1.50323760875951,3.9763477458335,2.64518910560974
"16",ols,232,50,10,2320,10,1.25092861014669,3.19408524842291,2.55337132951845
"17",ols,232,50,10,2320,10,1.42288499510064,2.50524257620229,1.7606781889109
"18",ols,232,50,10,2320,10,1.42915440110973,2.39692223802147,1.67716114939035
"19",ols,232,50,10,2320,10,1.39880786147898,3.86249883008827,2.76127904085726
"20",ols,232,50,10,2320,10,1.22871803195247,3.03506359852709,2.47010584983788
"21",ols,232,50,20,4640,10,1.24032962879529,1.48315419417506,1.19577421980609
"22",ols,232,50,20,4640,10,1.26690206617727,1.38318039691562,1.09178162530684
"23",ols,232,50,20,4640,10,1.31476853029164,1.76208750178653,1.34022640578085
"24",ols,232,50,20,4640,10,1.35664416941422,1.55333195989097,1.14498111952354
"25",ols,232,50,20,4640,10,1.44265385456405,1.1929331271338,0.826901840216057
"26",ols,232,50,20,4640,10,1.3682439923411,1.26213791564403,0.9224509098589
"27",ols,232,50,20,4640,10,1.12397713374704,0.99961470827946,0.889355021793916
"28",ols,232,50,20,4640,10,1.33880961809384,1.31203117829335,0.97999832131576
"29",ols,232,50,20,4640,10,1.12630749767966,0.986326003946113,0.875716450417021
"30",ols,232,50,20,4640,10,1.0710072809271,1.29346004878538,1.20770425357493
"31",ols,232,50,20,4640,10,1.31938388580208,0.903578540488909,0.684848852720075
"32",ols,232,50,20,4640,10,1.43569856296638,1.22224152792014,0.851321829977174
"33",ols,232,50,20,4640,10,1.31650933984131,1.93806721954868,1.47212568942526
"34",ols,232,50,20,4640,10,1.29627123490543,1.4931023482586,1.15184408019941
"35",ols,232,50,20,4640,10,1.19965811123997,1.39189742159064,1.16024508028539
"36",ols,232,50,20,4640,10,1.14661159171353,1.34280560520573,1.17110764875401
"37",ols,232,50,20,4640,10,1.27992826699768,1.30296948288005,1.01800195876322
"38",ols,232,50,20,4640,10,1.14596442393072,1.35525801453377,1.18263532988674
"39",ols,232,50,20,4640,10,1.66113368957749,1.54003999347176,0.927101775814005
"40",ols,232,50,20,4640,10,1.15793203035306,1.06196650016413,0.91712334776708
"41",ols,232,50,40,9280,10,1.35807562670427,0.523087035432653,0.385167825080598
"42",ols,232,50,40,9280,10,1.20809674572029,0.803121065325301,0.664782078232044
"43",ols,232,50,40,9280,10,1.1870620732474,0.912218612134203,0.768467490195085
"44",ols,232,50,40,9280,10,1.65173846287568,0.494817727466277,0.299573896586993
"45",ols,232,50,40,9280,10,1.53496060080415,0.723414023985959,0.471291591202386
"46",ols,232,50,40,9280,10,1.29636561610925,0.601250899937001,0.463797321114948
"47",ols,232,50,40,9280,10,1.17754025025514,0.642828295924913,0.545907705308272
"48",ols,232,50,40,9280,10,1.29355036471963,0.668892248513191,0.517097955175616
"49",ols,232,50,40,9280,10,1.23081638130111,0.628907653885261,0.510967893700308
"50",ols,232,50,40,9280,10,1.37845627622838,0.914605757606068,0.663500013296424
"51",ols,232,50,40,9280,10,1.36312891913901,0.785700495864489,0.576394855125484
"52",ols,232,50,40,9280,10,1.41932872485762,0.752811556884344,0.530399719036096
"53",ols,232,50,40,9280,10,1.46651472938012,0.68185092568325,0.464946523906693
"54",ols,232,50,40,9280,10,1.46209510871563,0.924883587417723,0.632574161492259
"55",ols,232,50,40,9280,10,1.18673006667685,0.484140992707236,0.407962186432975
"56",ols,232,50,40,9280,10,1.33475908967383,0.654871414084155,0.490628922590207
"57",ols,232,50,40,9280,10,1.25546808220295,0.446800292055207,0.355883433747845
"58",ols,232,50,40,9280,10,1.24782447128649,0.530116227498318,0.424832370014171
"59",ols,232,50,40,9280,10,1.28919822626285,0.733011996723397,0.568579743433455
"60",ols,232,50,40,9280,10,1.10507900704129,0.826945361705804,0.748313339079567
"61",ols,232,50,100,23200,10,1.21649470425943,0.255503446215817,0.210032518284872
"62",ols,232,50,100,23200,10,1.36327850214384,0.269199114359098,0.19746450482111
"63",ols,232,50,100,23200,10,0.984274287502138,0.237553315182698,0.241348695377945
"64",ols,232,50,100,23200,10,1.20181561493041,0.289221744319859,0.240654007758591
"65",ols,232,50,100,23200,10,1.63706728267896,0.420934177824959,0.257126986947126
"66",ols,232,50,100,23200,10,1.52729272847336,0.223598186621299,0.146401657293819
"67",ols,232,50,100,23200,10,1.5400485121495,0.270757589561908,0.175811078304282
"68",ols,232,50,100,23200,10,1.29350988800229,0.252197872597724,0.194971739247561
"69",ols,232,50,100,23200,10,1.1354547887829,0.213823308456728,0.188315123216774
"70",ols,232,50,100,23200,10,1.42808266071702,0.331853983625654,0.232377293523776
"71",ols,232,50,100,23200,10,1.48513620666399,0.35102332909481,0.23635766707439
"72",ols,232,50,100,23200,10,1.3392653379661,0.328563591277564,0.245331214034512
"73",ols,232,50,100,23200,10,1.1847631833386,0.185252285718769,0.156362291067096
"74",ols,232,50,100,23200,10,1.31703932340774,0.196880082026656,0.149486866889626
"75",ols,232,50,100,23200,10,1.16693994702642,0.242699165457361,0.207979139008655
"76",ols,232,50,100,23200,10,1.24648477123602,0.322031262168323,0.258351541550721
"77",ols,232,50,100,23200,10,1.62588025806615,0.280067748425678,0.17225607300183
"78",ols,232,50,100,23200,10,1.1866155157999,0.207356638739966,0.174746272890412
"79",ols,232,50,100,23200,10,1.41656885067087,0.299376579560777,0.211339236648467
"80",ols,232,50,100,23200,10,1.22900988388697,0.246428547872793,0.200509817783904
"81",ols,424,50,10,4240,10,1.05028896559503,1.91400872352469,1.82236392671261
"82",ols,424,50,10,4240,10,1.22780221280627,1.11294202999906,0.906450581690449
"83",ols,424,50,10,4240,10,1.03948546915029,1.41526356469214,1.3615039427622
"84",ols,424,50,10,4240,10,1.06339716692013,0.935663295452569,0.879881312983456
"85",ols,424,50,10,4240,10,1.15106032359152,0.943976538300288,0.820093021150192
"86",ols,424,50,10,4240,10,1.03827431980781,1.05630821366519,1.017369103245
"87",ols,424,50,10,4240,10,1.00790751273007,1.0399638302994,1.03180482054599
"88",ols,424,50,10,4240,10,0.96362979139253,1.31616825925565,1.36584430142375
"89",ols,424,50,10,4240,10,1.17034486321251,1.28283266819859,1.09611509267217
"90",ols,424,50,10,4240,10,1.09964597625892,1.47875374170779,1.34475437880347
"91",ols,424,50,10,4240,10,1.21076425819446,1.32189355083313,1.09178441788857
"92",ols,424,50,10,4240,10,1.11714916852265,1.26729323921594,1.1343993039818
"93",ols,424,50,10,4240,10,1.27398230176058,1.18860842233764,0.932986604833556
"94",ols,424,50,10,4240,10,1.14730144505779,1.15096983376919,1.00319740616314
"95",ols,424,50,10,4240,10,1.04512884959408,1.32799150400132,1.27064859468486
"96",ols,424,50,10,4240,10,1.20540249565215,1.91828409952289,1.59140544875432
"97",ols,424,50,10,4240,10,1.21839102272316,0.88858879391123,0.72931331349208
"98",ols,424,50,10,4240,10,1.20234084526706,1.13236338217323,0.941798980406182
"99",ols,424,50,10,4240,10,1.38475959133931,1.92179799794137,1.38782068018222
"100",ols,424,50,10,4240,10,1.05354994774699,1.76487250542317,1.67516737976907
"101",ols,424,50,20,8480,10,0.968645986316248,0.560648508552107,0.578796089048227
"102",ols,424,50,20,8480,10,1.17975001606487,0.523327747074185,0.443592066071573
"103",ols,424,50,20,8480,10,1.07872332227257,0.666189628389452,0.617572286270752
"104",ols,424,50,20,8480,10,1.08215360874083,0.553176754286875,0.511181360777922
"105",ols,424,50,20,8480,10,1.10392966786033,0.953801530374801,0.864005704478882
"106",ols,424,50,20,8480,10,1.43099592987502,0.664830536126007,0.46459289103923
"107",ols,424,50,20,8480,10,1.08896218635981,0.556113237515789,0.510681862494022
"108",ols,424,50,20,8480,10,1.00310791115919,0.652060325761037,0.650040059007728
"109",ols,424,50,20,8480,10,1.03011422651471,0.752866911550073,0.730857697303457
"110",ols,424,50,20,8480,10,1.06080972931634,0.808055616920806,0.761734733939111
"111",ols,424,50,20,8480,10,1.08167537528752,0.833339477222681,0.770415501971811
"112",ols,424,50,20,8480,10,0.983291053197663,0.80683699896378,0.820547483209519
"113",ols,424,50,20,8480,10,1.13848868417856,0.724877038972337,0.636701136380065
"114",ols,424,50,20,8480,10,1.1040187816413,0.89210140468312,0.808049119741305
"115",ols,424,50,20,8480,10,1.06205077293127,0.67397780332287,0.634600360454225
"116",ols,424,50,20,8480,10,1.12249044765108,0.659053809811512,0.587135339272283
"117",ols,424,50,20,8480,10,0.978587805601192,0.535502387502399,0.547219559080256
"118",ols,424,50,20,8480,10,1.04814630684333,1.02758126487168,0.980379607467598
"119",ols,424,50,20,8480,10,1.06040687314192,0.733002293842747,0.69124626820921
"120",ols,424,50,20,8480,10,1.14635687241305,0.7744905794858,0.675610360197447
"121",ols,424,50,40,16960,10,1.09719901633288,0.435916731494167,0.397299601079768
"122",ols,424,50,40,16960,10,1.1974270008938,0.287415891839099,0.240027902848827
"123",ols,424,50,40,16960,10,1.20705780547743,0.307904186808382,0.255086529751238
"124",ols,424,50,40,16960,10,1.37602431398153,0.459720144553113,0.334093038823501
"125",ols,424,50,40,16960,10,0.9967117552352,0.4313169580345,0.432739912787243
"126",ols,424,50,40,16960,10,1.1063345669293,0.216412980776953,0.195612599701752
"127",ols,424,50,40,16960,10,1.03568562930329,0.281258126878046,0.271567084567204
"128",ols,424,50,40,16960,10,1.09455924845098,0.382073109897543,0.349065717948345
"129",ols,424,50,40,16960,10,1.02499939471043,0.41946377109316,0.409233189070968
"130",ols,424,50,40,16960,10,1.14704271489131,0.244364622622259,0.213038816645476
"131",ols,424,50,40,16960,10,1.08417322365217,0.225706060562518,0.208182655352988
"132",ols,424,50,40,16960,10,1.12898991059243,0.387834543471629,0.3435234804429
"133",ols,424,50,40,16960,10,1.08685416939115,0.271294400235932,0.24961435294296
"134",ols,424,50,40,16960,10,1.0240092646651,0.436671897029496,0.426433541274949
"135",ols,424,50,40,16960,10,1.23372079116812,0.34185584955212,0.277093368288332
"136",ols,424,50,40,16960,10,1.03391495377992,0.359275882354082,0.347490749641056
"137",ols,424,50,40,16960,10,1.07862014660468,0.302957001914268,0.280874599707717
"138",ols,424,50,40,16960,10,1.12639511551635,0.463721160858227,0.411686054449598
"139",ols,424,50,40,16960,10,1.15005844724174,0.37628786168664,0.327190207236088
"140",ols,424,50,40,16960,10,1.27176989359479,0.42819964507505,0.336695849800862
"141",ols,424,50,100,42400,10,1.23690862820462,0.166099575995924,0.134286051700536
"142",ols,424,50,100,42400,10,1.0833747310112,0.155420918577109,0.143459981231095
"143",ols,424,50,100,42400,10,1.10008381240515,0.105498697731367,0.0959006000649273
"144",ols,424,50,100,42400,10,1.24330455375291,0.120097322018659,0.0965952562919083
"145",ols,424,50,100,42400,10,1.25884866718526,0.140026095458404,0.111233462058229
"146",ols,424,50,100,42400,10,1.11818950778606,0.123190240109035,0.110169375809065
"147",ols,424,50,100,42400,10,1.20645930773591,0.111947747440211,0.0927903218304954
"148",ols,424,50,100,42400,10,1.19620280120785,0.125659539073304,0.105048691531587
